Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
141;61482;"Liaoning Gongcheng Jishu Daxue Xuebao (Ziran Kexue Ban)/Journal of Liaoning Technical University (Natural Science Edition)";journal;"10080562";0,134;Q4;19;101;254;1761;62;254;0,19;17,44;29,89;0;16;China;Asiatic Region;"Editorial Office of Journal of Liaoning Technical University";"2001-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
142;5400152705;"Archives des Sciences";journal;"1661464X";0,133;Q4;16;0;7;0;2;7;0,50;0,00;0,00;0;0;Switzerland;Western Europe;"Societe de Physique et d'Histoire Naturelle de Geneve";"2004-2014, 2017-2018, 2020-2021";"Multidisciplinary (Q4)";"Multidisciplinary"
143;21101041813;"Chinese Annals of History of Science and Technology";journal;"20964226";0,133;Q4;3;6;41;234;9;40;0,21;39,00;57,14;0;1;China;Asiatic Region;"Science China Press";"2017-2023";"History (Q2); History and Philosophy of Science (Q3); Multidisciplinary (Q4)";"Arts and Humanities; Multidisciplinary"
144;20300195074;"ASM Science Journal";journal;"18236782";0,130;Q4;11;69;418;2328;140;417;0,42;33,74;46,55;0;24;Malaysia;Asiatic Region;"Akademi Sains Malaysia";"2011-2015, 2017-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
145;21101170608;"Georgetown Journal of International Affairs";journal;"15260054, 24718831";0,129;Q4;4;37;115;833;47;85;0,34;22,51;25,00;0;14;United States;Northern America;"Johns Hopkins University Press";"2019-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
146;21100217212;"Journal of Zhejiang University, Science Edition";journal;"10089497";0,129;Q4;10;86;281;2337;97;281;0,29;27,17;43,56;0;18;China;Asiatic Region;"Zhejiang da xue xue bao bian ji bu";"2012-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
147;19900191882;"Journal of Sciences, Islamic Republic of Iran";journal;"10161104";0,128;Q4;14;18;65;523;25;65;0,46;29,06;44,74;0;2;Iran;Middle East;"University of Tehran";"2011-2022";"Multidisciplinary (Q4)";"Multidisciplinary"
148;21101131037;"Salud, Ciencia y Tecnologia";journal;"27969711";0,128;Q4;12;267;206;7162;169;200;0,82;26,82;54,84;1;125;Argentina;Latin America;"Editorial Salud, Ciencia y Tecnología";"2021-2023";"Engineering (miscellaneous) (Q4); Health Professions (miscellaneous) (Q4); Multidisciplinary (Q4); Nursing (miscellaneous) (Q4)";"Engineering; Health Professions; Multidisciplinary; Nursing"
149;21101105288;"Recoletos Multidisciplinary Research Journal";journal;"24083755, 24231398";0,127;Q4;4;17;60;726;24;60;0,50;42,71;40,00;0;10;Philippines;Asiatic Region;"University of San Jose-Recoletos";"2013-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
150;21100202735;"Revista Lasallista de Investigacion";journal;"17944449";0,127;Q4;11;33;126;1052;33;119;0,20;31,88;43,48;0;13;Colombia;Latin America;"Corporacion Universitaria Lasallista";"2011, 2013-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
